User ID,User Level,Timestamp,Inspection Type,Total Quantity,Correct Orientation,Wrong Orientation,Inspection Type,Decoded Batch Quantity,Decoded Box Quantity,Accumulated Batch Quantity,Overall Result,Messages,Remarks,Approved By
o,Operator,30-01-2023 | 15:03:53.570,TopVision,26,26,0,CodeReader,285,10,26,NG,BoxQtyNotMatch,a,Admin
a,Admin,30-01-2023 | 15:04:34.033,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 15:04:38.859,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 15:04:56.602,TopVision,26,26,0,CodeReader,285,26,52,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 15:05:00.159,TopVision,26,26,0,CodeReader,285,26,78,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 15:05:02.685,TopVision,26,26,0,CodeReader,285,26,104,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 15:05:04.562,TopVision,26,26,0,CodeReader,285,26,130,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 15:05:06.358,TopVision,26,26,0,CodeReader,285,26,156,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 15:05:08.047,TopVision,26,26,0,CodeReader,285,26,182,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 15:05:09.840,TopVision,26,26,0,CodeReader,285,26,208,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 15:05:12.652,TopVision,26,26,0,CodeReader,285,26,234,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 15:05:14.351,TopVision,26,26,0,CodeReader,285,26,260,OK,N/A,N/A,N/A
a,Admin,30-01-2023 | 15:05:32.659,TopVision,26,26,0,CodeReader,285,26,286,NG,ExceedTotalBatchQty,e,Engineer
a,Admin,30-01-2023 | 15:10:25.823,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
o,Operator,30-01-2023 | 15:21:45.850,TopVision,26,26,0,CodeReader,285,26,26,OK,N/A,N/A,N/A
